folder,samples,train,test,task
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
200,100,0.494949494949495,0.494949494949495,w_nw
200,100,0.494949494949495,0.494949494949495,w_nw
200,100,0.494949494949495,0.494949494949495,w_nw
200,100,0.7676767676767676,0.7676767676767676,w_nw
200,100,0.6868686868686869,0.6868686868686869,w_nw
200,100,0.696969696969697,0.696969696969697,w_nw
200,100,0.8787878787878788,0.8787878787878788,w_nw
200,100,0.494949494949495,0.494949494949495,w_nw
200,100,0.5353535353535354,0.5353535353535354,w_nw
200,100,0.8080808080808081,0.8080808080808081,w_nw
300,100,0.5050505050505051,0.5050505050505051,w_nw
300,100,0.9393939393939394,0.9393939393939394,w_nw
300,100,0.494949494949495,0.494949494949495,w_nw
300,100,0.9393939393939394,0.9393939393939394,w_nw
300,100,0.9292929292929293,0.9292929292929293,w_nw
300,100,0.494949494949495,0.494949494949495,w_nw
300,100,0.9494949494949495,0.9494949494949495,w_nw
300,100,0.9696969696969697,0.9696969696969697,w_nw
300,100,0.494949494949495,0.494949494949495,w_nw
300,100,0.9090909090909091,0.9090909090909091,w_nw
